run_id,seed,context_points,context_transform,nll,sel_acc,acc,ece,ood_auroc,dataset
tkqj8jzh,211,mnist,False,0.2727220952510834,98.3391132503748,94.1100001335144,4.037631063461304,99.975548,FashionMNIST
b39tjnuz,53,mnist,False,0.27817976474761963,97.9322706669569,94.2200005054474,4.025624680370092,99.971438,FashionMNIST
f7qkq408,173,mnist,False,0.2807843089103699,98.3058318823576,93.9300000667572,4.2707561990618705,99.980021,FashionMNIST
rdel6mu1,157,mnist,False,0.2626307010650635,98.4412143021822,94.23999786376952,3.91077939838171,99.973111,FashionMNIST
fxuvyt7w,211,mnist,True,0.2735264003276825,98.41667059957982,94.07999515533449,4.090925705432892,99.98975199999998,FashionMNIST
igi746rt,173,mnist,True,0.2781146764755249,98.30691152215005,94.04999613761902,4.168313164561987,99.989917,FashionMNIST
7uqfllh9,53,mnist,True,0.2783883512020111,98.33500033915044,94.0999984741211,4.0634085807204245,99.96884,FashionMNIST
zb3h9j5y,157,mnist,True,0.27858036756515503,98.2069547623396,93.99999976158142,4.138045617640019,99.969482,FashionMNIST
59cb694p,211,kmnist,False,0.28665193915367126,98.1973162084818,94.1100001335144,4.203799282759428,99.77096,FashionMNIST
gxwgxs66,173,kmnist,False,0.2775019109249115,98.32333049476146,94.04999613761902,4.128466522395612,99.759087,FashionMNIST
e368sy3d,157,kmnist,False,0.27768242359161377,98.2076866209507,94.05999779701231,4.121881474256515,99.879719,FashionMNIST
q62dq4m4,53,kmnist,False,0.27622392773628235,98.25437290966512,93.94999742507936,4.121571304947138,99.749578,FashionMNIST
az3irmas,5,kmnist,False,0.2630443274974823,98.3362669378519,94.24999952316284,3.746064819395542,99.877105,FashionMNIST
fkchjn1c,173,kmnist,True,0.2787666320800781,98.08862183988094,94.11999583244324,4.085701662451029,99.898908,FashionMNIST
jjjsjo2x,211,kmnist,True,0.29078295826911926,98.33490777313708,94.16999816894533,4.207318139374256,99.830319,FashionMNIST
