mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
fsgc,defocus_blur,4,2,82.7343761920929,95.21351623535156
fsgc,defocus_blur,3,2,89.6484375,98.060546875
fsgc,defocus_blur,2,2,93.5449242591858,98.9650650024414
fsgc,defocus_blur,1,2,94.6972668170929,99.28277587890624
fsgc,contrast,5,2,45.21484375,65.96670532226562
fsgc,contrast,4,2,84.07226800918579,95.9313507080078
fsgc,contrast,3,2,90.3222680091858,98.11767578125
fsgc,contrast,2,2,92.3535168170929,98.8307876586914
fsgc,contrast,1,2,94.73633170127867,99.38737487792967
fsgc,brightness,5,2,88.916015625,98.01063537597656
fsgc,brightness,4,2,92.4023449420929,98.87368774414062
fsgc,brightness,3,2,92.88086295127867,98.99586486816406
fsgc,brightness,2,2,94.0136730670929,99.24829864501952
fsgc,brightness,1,2,94.482421875,99.29290771484376
fsgc,zoom_blur,5,3,65.9960925579071,85.70104217529297
fsgc,zoom_blur,4,3,75.3222644329071,91.64420318603516
fsgc,zoom_blur,3,3,81.06445670127869,94.60061645507812
fsgc,zoom_blur,2,3,86.48437857627869,96.87032318115234
fsgc,zoom_blur,1,3,89.16992545127869,97.85400390625
fsgc,speckle_noise,5,3,39.07226622104645,62.11909103393555
fsgc,speckle_noise,4,3,50.20508170127869,75.34210968017578
fsgc,speckle_noise,3,3,63.310545682907104,85.80797576904297
fsgc,speckle_noise,2,3,69.7558581829071,90.28732299804688
fsgc,speckle_noise,1,3,84.5507800579071,96.70407104492188
fsgc,spatter,5,3,73.39844107627869,87.2317123413086
fsgc,spatter,4,3,84.7363293170929,94.96304321289062
fsgc,spatter,3,3,80.3906261920929,94.5554656982422
fsgc,spatter,2,3,84.92187857627869,96.09186553955078
fsgc,spatter,1,3,91.0351574420929,98.33235168457033
fsgc,snow,5,3,76.1914074420929,92.44869995117188
fsgc,snow,4,3,80.3906261920929,94.69481658935548
fsgc,snow,3,3,82.763671875,95.40509796142578
fsgc,snow,2,3,80.2050769329071,94.31356048583984
fsgc,snow,1,3,89.16015625,97.48126983642578
fsgc,shot_noise,5,3,34.56054627895355,55.903282165527344
fsgc,shot_noise,4,3,45.17578184604645,69.40735626220703
fsgc,shot_noise,3,3,54.033201932907104,77.86994171142578
fsgc,shot_noise,2,3,74.0234375,92.09986877441406
fsgc,shot_noise,1,3,83.97461175918579,96.4906234741211
fsgc,saturate,5,3,84.27734375,96.21571350097656
fsgc,saturate,4,3,89.60937857627869,98.1956787109375
fsgc,saturate,3,3,93.5546875,99.10979461669922
fsgc,saturate,2,3,89.78515863418579,98.0860595703125
fsgc,saturate,1,3,92.0605480670929,98.69226837158205
fsgc,pixelate,5,3,46.51367366313934,68.03657531738281
fsgc,pixelate,4,3,65.5078113079071,85.59640502929688
fsgc,pixelate,3,3,82.08984732627869,95.37132263183594
fsgc,pixelate,2,3,86.53320670127869,97.29751586914062
fsgc,pixelate,1,3,92.0703113079071,98.81777954101562
fsgc,motion_blur,5,3,69.00390982627869,86.47230529785156
fsgc,motion_blur,4,3,76.79687738418579,92.16727447509766
fsgc,motion_blur,3,3,77.490234375,92.4749526977539
fsgc,motion_blur,2,3,84.9902331829071,96.4937973022461
fsgc,motion_blur,1,3,90.673828125,98.4164047241211
fsgc,jpeg_compression,5,3,73.7011730670929,90.09716033935548
fsgc,jpeg_compression,4,3,77.34375,92.57625579833984
fsgc,jpeg_compression,3,3,79.4921875,93.83499145507812
fsgc,jpeg_compression,2,3,81.005859375,94.74578857421876
fsgc,jpeg_compression,1,3,86.41601800918579,97.02074432373048
fsgc,impulse_noise,5,3,19.746093451976776,29.959211349487305
fsgc,impulse_noise,4,3,34.199219942092896,52.415409088134766
fsgc,impulse_noise,3,3,56.025391817092896,76.6046142578125
fsgc,impulse_noise,2,3,67.87109375,85.91255187988281
fsgc,impulse_noise,1,3,82.07031488418579,94.24884033203124
fsgc,gaussian_noise,5,3,26.552733778953552,45.69429397583008
fsgc,gaussian_noise,4,3,32.93945491313934,53.232791900634766
fsgc,gaussian_noise,3,3,39.41406309604645,62.08307647705078
fsgc,gaussian_noise,2,3,56.97265863418579,79.33694458007812
fsgc,gaussian_noise,1,3,77.0703136920929,93.44151306152344
fsgc,gaussian_blur,5,3,38.447266817092896,57.74873352050781
fsgc,gaussian_blur,4,3,65.4101550579071,84.82193756103516
fsgc,gaussian_blur,2,3,89.2578125,97.97544860839844
fsgc,gaussian_blur,3,3,79.9511730670929,93.9243621826172
fsgc,gaussian_blur,1,3,94.580078125,99.29299926757812
fsgc,frosted_glass_blur,5,3,51.982420682907104,71.94313049316406
fsgc,frosted_glass_blur,4,3,48.486328125,67.0606918334961
fsgc,frosted_glass_blur,3,3,63.232421875,82.79258728027344
fsgc,frosted_glass_blur,2,3,59.77539420127869,79.15562438964844
fsgc,frosted_glass_blur,1,3,57.832032442092896,77.42473602294922
fsgc,frost,5,3,63.61328363418579,85.77254486083984
fsgc,frost,4,3,72.705078125,91.6571807861328
fsgc,frost,3,3,75.3222644329071,92.666015625
fsgc,frost,2,3,84.9609375,96.70365142822266
fsgc,frost,1,3,90.19531607627867,98.38003540039062
fsgc,fog,5,3,72.265625,90.61282348632812
fsgc,fog,4,3,89.453125,98.11833953857422
fsgc,fog,3,3,92.9980456829071,98.88704681396484
fsgc,fog,2,3,94.4140613079071,99.26921844482422
fsgc,fog,1,3,95.068359375,99.3861846923828
fsgc,elastic,5,3,78.65234613418579,92.93798828125
fsgc,elastic,4,3,81.884765625,94.62006378173828
fsgc,elastic,3,3,87.21680045127869,97.0979995727539
fsgc,elastic,2,3,90.4003918170929,98.23331451416016
fsgc,elastic,1,3,90.234375,98.15802764892578
fsgc,defocus_blur,5,3,59.21875238418579,79.07142639160156
fsgc,defocus_blur,4,3,80.6445300579071,94.50934600830078
fsgc,defocus_blur,3,3,89.44336175918579,98.07320404052734
fsgc,defocus_blur,2,3,93.61328482627867,99.09112548828124
fsgc,defocus_blur,1,3,94.44336295127867,99.21226501464844
fsgc,contrast,5,3,47.64648377895355,69.06156921386719
fsgc,contrast,4,3,84.90234613418579,96.11214447021484
fsgc,contrast,3,3,90.04883170127869,98.12935638427734
fsgc,contrast,2,3,92.9101586341858,98.9732894897461
