mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
ps,contrast,5,0,35.859376192092896,54.170921325683594
ps,contrast,4,0,78.515625,93.38411712646484
ps,contrast,3,0,88.2031261920929,97.23795318603516
ps,contrast,2,0,91.66015982627867,98.2740707397461
ps,contrast,1,0,94.6191430091858,99.18775177001952
ps,brightness,5,0,91.552734375,98.5693817138672
ps,brightness,4,0,93.798828125,99.09271240234376
ps,brightness,3,0,94.49219107627867,99.13654327392578
ps,brightness,2,0,94.6679711341858,99.2947006225586
ps,brightness,1,0,95.32226920127867,99.3144073486328
ps,zoom_blur,5,1,63.46679925918579,82.07936096191406
ps,zoom_blur,4,1,73.39844107627869,90.06475830078125
ps,zoom_blur,3,1,80.37109375,94.0428695678711
ps,zoom_blur,2,1,85.60547232627869,96.40518951416016
ps,zoom_blur,1,1,88.1640613079071,97.45526123046876
ps,speckle_noise,5,1,35.52734553813934,55.30031967163086
ps,speckle_noise,4,1,47.83203303813934,69.76826477050781
ps,speckle_noise,3,1,64.05273675918579,83.58622741699219
ps,speckle_noise,2,1,72.93945550918579,89.55494689941406
ps,speckle_noise,1,1,87.4218761920929,97.33910369873048
ps,spatter,5,1,74.94140863418579,87.28483581542969
ps,spatter,4,1,85.45898795127869,95.04002380371094
ps,spatter,3,1,84.12109613418579,95.74507904052734
ps,spatter,2,1,88.27148675918579,97.2811508178711
ps,spatter,1,1,92.6953136920929,98.5240478515625
ps,snow,5,1,77.30469107627869,92.2314910888672
ps,snow,4,1,82.080078125,94.76056671142578
ps,snow,3,1,83.6621105670929,95.68193817138672
ps,snow,2,1,81.7187488079071,94.67570495605467
ps,snow,1,1,90.34180045127867,97.8291473388672
ps,shot_noise,5,1,28.642579913139343,43.57625198364258
ps,shot_noise,4,1,42.03124940395355,60.3302001953125
ps,shot_noise,3,1,51.787108182907104,70.78700256347656
ps,shot_noise,2,1,77.9003918170929,92.59651184082033
ps,shot_noise,1,1,87.2851550579071,97.16240692138672
ps,saturate,5,1,88.8476550579071,97.83865356445312
ps,saturate,4,1,92.2656238079071,98.68541717529295
ps,saturate,3,1,94.921875,99.1199951171875
ps,saturate,2,1,90.9082055091858,98.16022491455078
