run_id,lr,seed,epochs,dataset,momentum,ckpt_path,optimizer,batch_size,model_name,label_noise,train_subset,weight_decay,sgd/val/epoch,sgd/train/epoch,sgd/train/avg_nll,_timestamp,sgd/val/acc,sgd/test/nll,train/best_acc,sgd/test/avg_nll,sgd/val/nll,sgd/test/acc,sgd/train/nll,test/best_acc,sgd/test/epoch,val/best_epoch,sgd/val/avg_nll,sgd/train/mini_loss,_step,_wandb,_runtime,val/best_acc,sgd/train/acc,mode,func_decay,decay
10y7ec5y,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,,199,199,,1667307246.152939,0.10740000754594804,,0.0996199995279312,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1761},1756.7694520950315,0.10740000754594804,0.0996199995279312,FS-MAP,0.01545647277863969,0.01545647277863969
dnaudipm,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,,199,199,0.9724547266960144,1667307225.4006865,0.8895000219345093,4607.623046875,0.7623400092124939,0.4607623219490051,4721.14013671875,0.9012000560760498,48622.73828125,0.9012000560760498,2,2,0.4721140265464782,0.0035778963938355446,1005,{'runtime': 1777},1773.7980892658234,0.9088000655174256,0.7623400092124939,FS-MAP,4.519517103983475e-07,4.519517103983475e-07
lae00j5r,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,,1667307213.0970778,0.10740000754594804,,0.09851999580860138,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1774},1771.332484960556,0.10740000754594804,0.09851999580860138,FS-MAP,0.1868146137247169,0.1868146137247169
awjae6ld,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,,1667307093.443404,0.10740000754594804,,0.09851999580860138,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1826},1822.6565899848936,0.10740000754594804,0.09851999580860138,FS-MAP,0.11445901744420534,0.11445901744420534
xuax3ij3,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,,199,199,1.0647399425506592,1667307035.334107,0.891800045967102,7576.12841796875,0.7839399576187134,0.7576128840446472,6774.54150390625,0.9118000268936156,53237.0,0.9118000268936156,4,4,0.6774541735649109,0.8231766819953918,1005,{'runtime': 1785},1784.1764588356018,0.9164000153541564,0.7839399576187134,FS-MAP,0.0008736065833780807,0.0008736065833780807
r0ztdlm8,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,,199,199,2.1667320728302,1667306967.895911,0.31060001254081726,16788.41015625,0.26301997900009155,1.6788411140441897,21650.775390625,0.8214000463485718,108336.609375,0.8214000463485718,4,4,2.1650776863098145,0.5125192403793335,1009,{'runtime': 1738},1733.832372903824,0.8276000618934631,0.26301997900009155,FS-MAP,0.0003953193679737097,0.0003953193679737097
zto44gsv,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,0.0005306020611897111,1667307053.165621,0.9402000308036804,3540.271728515625,1.0,0.3540271818637848,2993.15771484375,0.928700029850006,26.53010368347168,0.928700029850006,147,147,0.29931578040122986,0.00344211608171463,1033,{'runtime': 1898},1893.153867959976,0.9414000511169434,1.0,FS-MAP,5.184280648558149e-07,5.184280648558149e-07
awr3ln4p,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,,1667306890.5311625,0.10740000754594804,,0.09851999580860138,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1775},1770.7693531513214,0.10740000754594804,0.09851999580860138,FS-MAP,0.008313103628819091,0.008313103628819091
hw9juyel,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,,199,199,2.152662992477417,1667306887.1689436,0.319100022315979,14909.90234375,0.2633199989795685,1.4909902811050415,23252.5546875,0.8188000321388245,107633.15625,0.8188000321388245,4,4,2.3252556324005127,0.1648731231689453,1007,{'runtime': 1782},1778.783001661301,0.8226000666618347,0.2633199989795685,FS-MAP,7.457856610822947e-05,7.457856610822947e-05
9s5ot69a,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,,199,199,,1667306886.822935,0.10740000754594804,,0.09929999709129332,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1788},1782.9640164375303,0.10740000754594804,0.09929999709129332,FS-MAP,0.3935878694121269,0.3935878694121269
i7p5unp3,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,,199,199,2.166097640991211,1667306898.2960968,0.32340002059936523,15461.30078125,0.26113998889923096,1.5461301803588867,25348.48046875,0.8285000324249268,108304.890625,0.8285000324249268,3,3,2.534848213195801,0.009789491072297096,1007,{'runtime': 1799},1794.3790657520294,0.8383000493049622,0.26113998889923096,FS-MAP,1.6770002154500488e-06,1.6770002154500488e-06
da4syt8q,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,,199,199,1.5560814142227173,1667306767.1092186,0.8961000442504883,14021.701171875,0.7820199728012085,1.402170181274414,12695.0908203125,0.9110000729560852,77804.0703125,0.9110000729560852,4,4,1.269509196281433,1.5806339979171753,1007,{'runtime': 1778},1775.365445613861,0.9177000522613524,0.7820199728012085,FS-MAP,0.0037022735319374458,0.0037022735319374458
plbu5prr,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,0.0003886120393872261,1667306869.4613402,0.9384000301361084,3323.78466796875,1.0,0.33237847685813904,2969.70751953125,0.9331000447273254,19.43060302734375,0.9331000447273254,116,116,0.29697075486183167,0.002435799688100815,1049,{'runtime': 1939},1933.5761761665344,0.9398000240325928,1.0,FS-MAP,3.326470007943876e-07,3.326470007943876e-07
z57ky6lk,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,0.047848984599113464,1667306801.9103007,0.9396000504493712,3093.06201171875,1.0,0.30930620431900024,2810.804443359375,0.9319000244140624,2392.44921875,0.9319000244140624,112,112,0.2810804545879364,0.16977933049201965,1049,{'runtime': 1909},1903.8369448184967,0.940000057220459,1.0,FS-MAP,7.781505689348874e-05,7.781505689348874e-05
k2hsxyv1,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,,199,199,2.1541194915771484,1667306644.4377234,0.3117000162601471,15501.4462890625,0.2652199864387512,1.5501446723937988,22494.3515625,0.8306000232696533,107705.9765625,0.8306000232696533,4,4,2.2494351863861084,0.2959999144077301,1007,{'runtime': 1820},1814.465232372284,0.8324000239372253,0.2652199864387512,FS-MAP,0.00017161369518851384,0.00017161369518851384
w82swjva,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,,199,199,1.7008284330368042,1667306566.5267,0.6752000451087952,8594.5791015625,0.5139999985694885,0.8594579696655273,11128.9013671875,0.8890000581741333,85041.421875,0.8890000581741333,3,3,1.1128902435302734,0.23625874519348145,1007,{'runtime': 1747},1742.1748161315918,0.8951000571250916,0.5139999985694885,FS-MAP,0.00012392386324664616,0.00012392386324664616
cm3dm191,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,,199,199,1.6690044403076172,1667306506.7423744,0.6643000245094299,8520.1201171875,0.5183799862861633,0.852012038230896,11515.9189453125,0.8865000605583191,83450.2265625,0.8865000605583191,4,4,1.1515918970108032,0.08193817734718323,1009,{'runtime': 1750},1746.104365348816,0.893500030040741,0.5183799862861633,FS-MAP,2.8747421674207495e-05,2.8747421674207495e-05
762s66vr,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,,199,199,,1667306475.4458623,0.10740000754594804,,0.09851999580860138,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1754},1749.1397533416748,0.10740000754594804,0.09851999580860138,FS-MAP,0.014225706891398545,0.014225706891398545
if1mw62e,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,,199,199,,1667306476.9611208,0.10740000754594804,,0.09905999898910522,,,0.10000000149011612,,0.10000000149011612,0,0,,NaN,1001,{'runtime': 1773},1771.4314959049225,0.10740000754594804,0.09905999898910522,FS-MAP,0.30066883931087457,0.30066883931087457
k85xfm8w,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,,199,199,1.704095721244812,1667306525.1307347,0.6811000108718872,8362.5771484375,0.509939968585968,0.8362577557563782,11854.583984375,0.882900059223175,85204.7890625,0.882900059223175,3,3,1.185458421707153,0.005948342382907867,1007,{'runtime': 1832},1828.354627609253,0.8926000595092773,0.509939968585968,FS-MAP,8.873891013631033e-07,8.873891013631033e-07
