run_id,seed,dataset,ctx_dataset,label_noise,reg_scale,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
at5eyabx,157,cifar10,cifar10,0.8,1e-06,27.300000190734863,38.38961410522461,2.563638925552368,29.283220534473664
zkl6hybg,53,cifar10,cifar10,0.8,1e-06,26.600000262260437,37.69780349731445,2.7547693252563477,33.67917802944779
mixymao7,5,cifar10,cifar10,0.8,1e-06,28.56999933719635,40.02973556518555,2.5097317695617676,27.979976264834406
z3tla063,211,cifar10,cifar10,0.6,0.0,46.84999883174896,65.17829132080078,2.6764273643493652,32.876869963407515
z0dzb01y,173,cifar10,cifar10,0.6,0.0,47.08999991416931,64.77738189697266,2.618781566619873,33.1421970572918
256y4e27,157,cifar10,cifar10,0.6,0.0,45.29999792575836,63.343597412109375,2.7389674186706543,34.54289062715957
qhse6b8e,53,cifar10,cifar10,0.6,0.0,47.78999984264374,66.08048248291016,2.5859591960906982,32.65147068448365
e07n8pwp,5,cifar10,cifar10,0.6,0.0,46.33999764919281,63.934478759765625,2.6734557151794434,33.26737092043569
sbro5ytm,211,cifar10,cifar10,0.6,1e-06,49.74999725818634,68.32146453857422,1.8680598735809328,22.083735075592998
3a3574be,173,cifar10,cifar10,0.6,1e-06,47.839999198913574,66.1391830444336,1.9469983577728271,23.38585731469095
0f9160a4,157,cifar10,cifar10,0.6,1e-06,48.03999960422516,66.55792999267578,1.9638060331344604,24.278046432882547
ly05lwzo,53,cifar10,cifar10,0.6,1e-06,50.06999969482422,68.3472900390625,1.8580776453018188,22.132182711064814
bi0h8pd0,5,cifar10,cifar10,0.6,1e-06,48.24000000953674,66.82173156738281,1.9252018928527832,23.79825251221657
u5w44jnq,211,cifar10,cifar10,0.4,0.0,68.30999851226807,84.87528991699219,1.5073750019073486,18.484041793001545
bg767pmf,173,cifar10,cifar10,0.4,0.0,68.14999580383301,84.98247528076172,1.4869513511657717,17.767727246271612
a47t851i,157,cifar10,cifar10,0.4,0.0,68.41999888420105,85.37074279785156,1.4326918125152588,18.15513207727358
8zwuld50,5,cifar10,cifar10,0.4,0.0,68.07000041007996,85.26657104492188,1.4654581546783447,18.8771469993473
gbg94b3z,53,cifar10,cifar10,0.4,0.0,69.61999535560608,86.71292114257812,1.3861608505249023,17.052533781351976
8macxvgl,211,cifar10,cifar10,0.4,1e-06,71.03999853134155,87.92427062988281,1.065377712249756,11.093769638091324
rnefpdnz,173,cifar10,cifar10,0.4,1e-06,69.48999762535095,86.70838928222656,1.1129616498947144,11.499212266206742
6fouhpba,157,cifar10,cifar10,0.4,1e-06,72.14999794960022,88.48089599609375,1.01231849193573,9.746744569540027
ywpmuz35,53,cifar10,cifar10,0.4,1e-06,71.77000045776367,88.28564453125,1.0248689651489258,10.308730573058128
x6wyhefj,5,cifar10,cifar10,0.4,1e-06,70.19999623298645,87.27639770507812,1.1161341667175293,11.676119182407856
tjpb3x3m,211,cifar10,cifar10,0.2,0.0,83.94999504089355,95.4913558959961,0.703152596950531,8.989290774303718
